
Type,Title,Description,Owner,Start_Date,End_Date,Status,Priority,Dependencies,Doc_URL
Component,Bright Data & Crawl4AI,"Data collection service providing proxies, web access APIs, and data feeds, integrated as part of Crawl4AI and Bright Data managershttps://docs.brightdata.com/introduction.",,,,,,,
Component,AI Foundry,"Azure AI Foundry for managing agents, models, and orchestrating AI applicationshttps://learn.microsoft.com/en-us/azure/ai-foundry/#:~:text=Azure%20AI%20Foundry%20documentation.",,,,,,,
Component,Qdrant,AI‑native vector database for storing and searching embeddingshttps://qdrant.tech/documentation/#:~:text=,API%20Reference.,,,,,,,
Component,Next.js & Node.js,React framework (Next.js) and backend runtime (Node.js) powering the web application and server‑side integrations.,,,,,,,
Tech Stack,Primary Technologies,"Node.js, Next.js 15, pnpm, Turborepo, Supabase/PostgreSQL, Airtable, Latitude.so, Miro API, CrewAI, Zapier, Bright Data, AI Foundry, Qdrant, Docker, Prometheus, Grafana, Replit.",,,,,,,

Docs,Latitude API,Official documentation for Latitude prompt management and agent system.,,,,,,,https://docs.latitude.so
Docs,Miro API,Official developer documentation for Miro APIs and SDKs.,,,,,,,https://developers.miro.com
Docs,Airtable API,Official API documentation for Airtable.,,,,,,,https://airtable.com/developers/web/api
Docs,Supabase Docs,Official documentation for Supabase.,,,,,,,https://supabase.com/docs
Docs,CrewAI Docs,Official documentation for CrewAI.,,,,,,,https://docs.crewai.com
Docs,Zapier Docs,Developer documentation for Zapier integration.,,,,,,,https://docs.zapier.com
Docs,Bright Data Docs,API and platform documentation for Bright Data.,,,,,,,https://docs.brightdata.com
Docs,AI Foundry Docs,Documentation for Azure AI Foundry.,,,,,,,https://learn.microsoft.com/en-us/azure/ai-foundry/
Docs,Qdrant Docs,Documentation for Qdrant vector database.,,,,,,,https://qdrant.tech/documentation/
Docs,WowDash Template,"Node.js admin dashboard template with multiple dashboards, charts, and responsive designhttps://elements.envato.com/wowdash-node-js-admin-dashboard-template-FPP2JEFhttps://elements.envato.com/wowdash-node-js-admin-dashboard-template-FPP2JEFhttps://elements.envato.com/wowdash-node-js-admin-dashboard-template-FPP2JEF.",,,,,,,https://elements.envato.com/wowdash-node-js-admin-dashboard-template-FPP2JEF
Docs,Next.js Docs,Documentation for Next.js (React framework).,,,,,,,https://nextjs.org/docs
Docs,Node.js Docs,Documentation for Node.js.,,,,,,,https://nodejs.org/docs/latest/api/
Docs,Sass Docs,Documentation for Sass (Syntactically Awesome Style Sheets).,,,,,,,https://sass-lang.com/documentation

Task,Integrate Next Wow Next Admin Dashboard & customize UI,,,2025-09-08,2025-09-21,Planned,High,,
Task,Setup Supabase schema & migrations; unify .env,,,2025-09-08,2025-09-21,Planned,High,,
Task,Configure API Gateway & Docker orchestration,,,2025-09-08,2025-09-21,Planned,High,,
Task,Implement Miro Adapter,,,2025-09-22,2025-10-05,Planned,High,Foundational Setup complete,
Task,Develop UI components for Miro embed,,,2025-09-22,2025-10-05,Planned,Medium,Miro Adapter,
Task,Wire Miro adapter into Prompt Lab flows,,,2025-09-22,2025-10-05,Planned,Medium,Miro Adapter,
Task,Implement Latitude Adapter,,,2025-10-06,2025-10-19,Planned,High,Foundational Setup complete,
Task,Implement Airtable Adapter,,,2025-10-06,2025-10-19,Planned,Medium,Latitude Adapter,
Task,Wire Latitude & Airtable into Prompt Lab,,,2025-10-06,2025-10-19,Planned,Medium,"Latitude Adapter, Airtable Adapter",
Task,Build Airtable-Latitude sync script,,,2025-10-20,2025-11-02,Planned,Medium,Latitude & Airtable wired,
Task,Create visual dashboard & metrics using Miro,,,2025-10-20,2025-11-02,Planned,Medium,Miro embed & wire,
Task,Implement CrewAI Adapter,,,2025-10-20,2025-11-02,Planned,Medium,Prompt Lab wired,
Task,Setup Monitoring (Prometheus & Grafana),,,2025-10-20,2025-11-02,Planned,Medium,Docker orchestration,
Task,Implement Zapier Adapter & Webhooks,,,2025-11-03,2025-11-16,Planned,Medium,Prompt Lab wired,
Task,Connect Zapier flows to external systems,,,2025-11-03,2025-11-16,Planned,Medium,Zapier Adapter,
Task,Integrate Crawl4AI service & Bright Data manager,,,2025-11-03,2025-11-16,Planned,Medium,Core infrastructure ready,
Task,Implement Adaptive Crawling & AI Foundry embeddings,,,2025-11-17,2025-11-30,Planned,Medium,Crawl4AI integrated,
Task,Integrate Qdrant vector DB,,,2025-11-17,2025-11-30,Planned,Medium,Adaptive Crawling,
Task,Implement Security: JWT auth & tenant enforcement,,,2025-11-17,2025-11-30,Planned,Medium,Core infrastructure ready,
Task,Implement Monetization & Scalability features,,,2025-11-17,2025-11-30,Planned,Low,Security implemented,
Task,Project Review & MVP Launch on Replit,,,2025-12-01,2025-12-05,Planned,Medium,All tasks complete,
